Case Status,Merchant,Create Date,Assigned To,Data Entry By,Assigned Date,Case Type,Tow Location,Merchant Address,Days Open,Industry,Practice,Closed Date,Disposition,Disposition Description,Dispostion Area
Closed,Windsor Bethesda Apartments,12/19/2023,Bernardo Vega,Public,12/20/2023,Consumer,7770 Norfolk Ave. Bethesda 20814,7770 Norfolk Ave.,23,Towing,Towing - Unauthorized,1/19/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Henry's Wrecker Service,12/20/2023,Bernardo Vega,Public,12/20/2023,Consumer,TOW LOCATION UNAVAILABLE,2701 Garfield Avenue,16,Towing,Towing - Unauthorized,1/10/2024,115,RESOLVED:  PARTIAL REFUND - Consumer receives a PARTIAL refund based on Investigator-Validated amount.,Complaint Resolved
Closed,Henry's Wrecker Service,12/20/2023,Bernardo Vega,Public,12/20/2023,Consumer,11201 Georgia Ave. Wheaton 20902,2701 Garfield Ave,25,Towing,Towing - Unauthorized,1/23/2024,170,"RESOLVED:  Consumer obtained other requested relief - Complaint is resolved and did not involve refund, goods, repair, or business practice complained about.  Ex. Consumer requested/received an apology.",Complaint Resolved
Closed,"Miller's Towing & Recovery, LLC",12/23/2023,David Elswick,Public,12/26/2023,Consumer,226 E. Diamond Ave. Gaithersburg 20877,18625 Mooney Drive,22,Towing,Damage Claim,1/24/2024,400,RESOLVED:  Citation Issued,Legal Actions
Closed,Henry's Wrecker Service,12/26/2023,David Elswick,Public,12/26/2023,Consumer,Fall Brook St. Gaithersburg 20877,8321 Beechcraft Ave,8,Towing,Towing - Unauthorized,1/4/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,"Speedy Towing, Inc.",12/28/2023,David Elswick,Public,2/26/2024,Consumer,1400 Castle Blvd. Silver Spring 20904,15101 Southlawn Lane,6,Towing,Towing - Unauthorized,3/4/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,"Miller's Towing & Recovery, LLC",12/30/2023,David Elswick,Public,1/2/2024,Consumer,11265 Triangle Ln. Silver Spring 20902,8304 Tahona Dr,20,Towing,Towing - Unauthorized,1/29/2024,160,"RESOLVED:  Merchant agreed to change practice - No refund, goods or repair is involved and merchant changes business practice.",Complaint Resolved
Closed,Authorized Towing,1/2/2024,Bernardo Vega,Public,1/4/2024,Consumer,Unknown/No Communication,8011 Beechcraft Ave.,36,Towing,Damage Claim,2/22/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Henry's Wrecker Service,1/4/2024,Bernardo Vega,Public,1/4/2024,Consumer,9612 Brassie Way Montgomery Village 20886,8321 Beechcraft Ave,23,Towing,Towing - Unauthorized,2/5/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Villa Ridge Condominiums,1/10/2024,David Elswick,Public,1/10/2024,Consumer,450 Girard St. Gaithersburg 20877,414 Girard St.,6,Towing,Towing - Unauthorized,1/17/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,"Drive Towing, LLC",1/10/2024,David Elswick,FLOREC07,1/10/2024,Consumer,1801 Metzerott Rd. Adelhi 20783,14608 Old Gunpowder Rd,1,Towing,Towing - Unauthorized,1/10/2024,320,REFERRED:  MD State Government agency,"Complaint Referred, Withdrawn, Noted, or No Juris."
Closed,Henry's Wrecker Service,1/22/2024,David Elswick,Public,2/26/2024,Consumer,580 College Pkwy. Rockville 20850,8321 Beechcraft Ave,1,Towing,Towing - Insufficient Signage,2/26/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Prestige Autow,1/25/2024,David Elswick,Public,1/25/2024,Consumer,TOW LOCATION UNAVAILABLE,13 Fedor Ave,3,Towing,Towing - Unauthorized,1/29/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Authorized Towing,1/29/2024,David Elswick,Public,1/30/2024,Consumer,9305 Corporate Blvd. Rockville 20850,8011 Beechcraft Ave.,9,Towing,Towing - Unauthorized,2/9/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Henry's Wrecker Service,2/2/2024,David Elswick,Public,2/26/2024,Consumer,12611 Layhill Rd.  Silver Spring 20906,2701 Garfield Avenue,24,Towing,Towing - Unauthorized,3/28/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Authorized Towing,2/4/2024,David Elswick,Public,2/5/2024,Consumer,"Appledowre Ct, Germantown 20876",8011 Beechcraft Ave.,61,Towing,"Damage Claim, Towing - Unauthorized",4/29/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Speedy Towing,2/13/2024,David Elswick,Public,2/23/2024,Consumer,14727 Wexhall Terr. Burtonsville 20866,15101 Southlawn Lane,9,Towing,Towing - Unauthorized,2/23/2024,610,Complaint filed for informational purposes only.  Merchant did not respond.,Administrative
Closed,Prince George Towing,2/15/2024,David Elswick,Public,2/16/2024,Consumer,6733 New Hampshire Ave. Takoma Park 20912,11504 E Maple Ave.,8,Towing,Towing - Unauthorized,2/27/2024,310,REFERRED:  Consumer agency in another state or county,"Complaint Referred, Withdrawn, Noted, or No Juris."
Closed,Henry's Wrecker Service,2/20/2024,David Elswick,Public,2/21/2024,Consumer,Not towed,2701 Garfield Avenue,8,Towing,Towing - Insufficient Signage,3/1/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Big Tow,2/22/2024,Lorena C. Bailey,Public,2/23/2024,Consumer,101 Misty Dale Way Gaithersburg 20877,"375 Derwood Circle, Suite D",77,Towing,"Towing - Insufficient Signage, Towing - Unauthorized",6/10/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Henry's Wrecker Service,2/25/2024,David Elswick,Public,2/26/2024,Consumer,580 College Pkwy. Rockville 20850,8321 Beechcraft Ave,10,Towing,Towing - Unauthorized,3/8/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Prestige Towing & Recovery,2/25/2024,David Elswick,Public,2/26/2024,Consumer,4123 Postgate Terr. Silver Spring 20906,13 Fedor Avenue,1,Towing,"Service - Unsatisfactory, Towing - Unauthorized",2/26/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Speedy Towing & Recovery,2/28/2024,David Elswick,Public,2/28/2024,Consumer,11215 Georgia Ave. Silver Spring 20902,15101 Southlawn Lane,4,Towing,Towing - Unauthorized,3/4/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Silver Spring Towing,2/29/2024,David Elswick,Public,3/1/2024,Consumer,7200 47th St. Chevy Chase 20815,9501 Georgia Ave,26,Towing,"Towing - Predatory, Towing - Unauthorized",4/5/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Azalea Apartments,3/7/2024,David Elswick,Public,3/8/2024,Consumer,7517 Blair Rd. Takoma Park 20912,7517 Blair Rd,2,Towing,Towing - Unauthorized,3/11/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Automotive Support Towing & Recovery,3/11/2024,David Elswick,Public,3/11/2024,Consumer,University Blvd E Hyattsville 20783 - Police Requested in PG County,P.O. Box 181,2,Towing,"Pricing - Excessive, Towing - Unauthorized",3/12/2024,300,REFERRED:  Montgomery County agency,"Complaint Referred, Withdrawn, Noted, or No Juris."
Closed,Henry's Wrecker Service,3/13/2024,Lorena C. Bailey,FLOREC07,3/13/2024,Consumer,40 DALAMAR ST. Gaithersburg 20877,8321 Beechcraft Ave,24,Towing,Towing - Unauthorized,4/15/2024,115,RESOLVED:  PARTIAL REFUND - Consumer receives a PARTIAL refund based on Investigator-Validated amount.,Complaint Resolved
Closed,Life Time Gaithersburg,3/14/2024,David Elswick,Public,3/15/2024,Consumer,10121 Washingtonian Blvd Gaithersburg 20878,10121 Washingtonian Blvd,10,Towing,Towing - Unauthorized,3/28/2024,160,"RESOLVED:  Merchant agreed to change practice - No refund, goods or repair is involved and merchant changes business practice.",Complaint Resolved
Closed,"Miller's Towing & Recovery, LLC",3/14/2024,David Elswick,Public,3/15/2024,Consumer,10121 Washingtonian Blvd Gaithersburg 20878,18625 Mooney Drive,19,Towing,Towing - Unauthorized,4/10/2024,170,"RESOLVED:  Consumer obtained other requested relief - Complaint is resolved and did not involve refund, goods, repair, or business practice complained about.  Ex. Consumer requested/received an apology.",Complaint Resolved
Closed,3 Star Towing LLC,3/16/2024,David Elswick,Public,3/18/2024,Consumer,"2837 Richmond Hwy. Stafford, VA 22554",,1,Towing,Towing - Unauthorized,3/18/2024,330,REFERRED:  Federal agency,"Complaint Referred, Withdrawn, Noted, or No Juris."
Closed,Authorized Towing,3/18/2024,David Elswick,Public,3/18/2024,Consumer,9305 Corporate Blvd. Rockville 20850,8011 Beechcraft Ave.,18,Towing,Towing - Unauthorized,4/10/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Randolph Square Apartments,3/19/2024,David Elswick,Public,3/19/2024,Consumer,5345 Randolph Rd.  Rockville 20852,5301 Randolph Rd.,6,Towing,Towing - Unauthorized,3/26/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Prestige Towing,3/19/2024,David Elswick,Public,3/19/2024,Consumer,700 Sligo Ave. Silver Spring 20910,13 Fedor Ave,8,Towing,Towing - Unauthorized,3/28/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Henry's Wrecker Service,3/20/2024,David Elswick,FLOREC07,3/20/2024,Consumer,107A North Summit Ave. Gaithersburg 20877,8321 Beechcraft Ave,15,Towing,Towing - Unauthorized,4/9/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Authorized Towing,3/22/2024,David Elswick,Public,3/25/2024,Consumer,13831 Castle Blvd. Silver Spring 20904,14614 Southlawn Lane,21,Towing,Towing - Unauthorized,4/22/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Big Tow,3/30/2024,David Elswick,Public,4/1/2024,Consumer,14357 Stilton Cir. Silver Spring 20905,"375 Derwood Circle, Suite D",14,Towing,Towing - Unauthorized,4/18/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Prestige Towing & Recovery,3/30/2024,David Elswick,Public,4/1/2024,Consumer,1200 East West Highway Silver Spring 20910,13 Fedor Avenue,8,Towing,Damage Claim,4/10/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Authorized Towing,4/5/2024,David Elswick,Public,4/5/2024,Consumer,14431 Traville Gardens Cir. Rockville 20850,8011 Beechcraft Ave,17,Towing,"Towing - Insufficient Signage, Towing - Unauthorized",4/29/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Ricky's Towing & Recovery LLC,4/7/2024,David Elswick,Public,4/9/2024,Consumer,Not in Complaint,15814 Paramount Dr,8,Towing,"Towing - Predatory, Towing - Unauthorized",4/18/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Henry's Wrecker Service,4/10/2024,David Elswick,Public,4/10/2024,Consumer,"No Tow, Detective request to tower",2701 Garfield Avenue,13,Towing,Towing - Unauthorized,4/26/2024,600,Complaint filed for informational purposes only.  Merchant responded.,Administrative
Closed,Prestige Towing & Recovery,4/12/2024,David Elswick,FLOREC07,4/15/2024,Consumer,1200 East West Highway Silver Spring 20910,13 Fedor Avenue,15,Towing,"Damage Claim, Towing - Unauthorized",5/3/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Potomac Oaks Condominuim,4/14/2024,David Elswick,Public,4/15/2024,Consumer,780 Quince Orchard Blvd. Gaithersburg 20878,780 Quince Orchard Blvd,6,Towing,Towing - Unauthorized,4/22/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Henry's Wrecker Service,4/16/2024,David Elswick,Public,4/17/2024,Consumer,4890 Battery Lane Bethesda 20814,2701 Garfield Avenue,1,Towing,Towing - Unauthorized,4/17/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Legal Action,Authorized Towing,4/16/2024,David Elswick,Public,4/16/2024,Consumer,9300 Corporate Blvd. Rockville 20850,8011 Beechcraft Ave.,79,Towing,Towing - Predatory,8/2/2024,,#N/A,#N/A
Closed,"E.C. Towing, Inc.",4/17/2024,David Elswick,Public,4/18/2024,Consumer,14925 Ladymeade Cir. Silver Spring 20906,8115 Fenton St.,30,Towing,Pricing - Excessive,5/29/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Woodmont Park Apartments,4/22/2024,David Elswick,Public,4/22/2024,Consumer,1001 Rockville Pike. Rockville 20852,1001 Rockville Pike,17,Towing,"Residential Tenancy, Towing - Insufficient Signage, Towing - Predatory, Towing - Unauthorized",5/14/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Prestige Towing,4/24/2024,David Elswick,Public,4/24/2024,Consumer,641 Sligo Avenue Silver Spring 20910,13 Fedor Ave,21,Towing,Towing - Unauthorized,5/22/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,"Speedy Towing, Inc.",4/25/2024,David Elswick,Public,4/25/2024,Consumer,14023 Castle Blvd. Silver Spring 20904,15101 Southlawn Lane,10,Towing,Towing - Unauthorized,5/8/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Henry's Wrecker Service,4/30/2024,David Elswick,FLOREC07,4/30/2024,Consumer,9706 Meggs Point PL. Montgomery Village 20886,8321 Beechcraft Ave,24,Towing,Towing - Unauthorized,5/31/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Henery's Wrecker Service,5/3/2024,David Elswick,Public,5/3/2024,Consumer,Not in Complaint,2701 Garfield Ave.,2,Towing,Damage Claim,5/6/2024,170,"RESOLVED:  Consumer obtained other requested relief - Complaint is resolved and did not involve refund, goods, repair, or business practice complained about.  Ex. Consumer requested/received an apology.",Complaint Resolved
Closed,Henry's Wrecker Service,5/8/2024,David Elswick,Public,5/8/2024,Consumer,1111 University Blvd. Silver Spring 20902,2701 Garfield Avenue,8,Towing,Towing - Unauthorized,5/17/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Ricky's Towing & Recovery LLC,5/20/2024,David Elswick,Public,5/20/2024,Consumer,8126 Georgia Ave. Silver Spring 20910,15814 Paramount Dr,5,Towing,Towing - Unauthorized,5/24/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Prince George Towing,5/21/2024,David Elswick,Public,5/22/2024,Consumer,6631 Ronald Rd. Capital Heights 20743,11504 E Maple Ave.,1,Towing,"Towing - Predatory, Towing - Unauthorized",5/22/2024,310,REFERRED:  Consumer agency in another state or county,"Complaint Referred, Withdrawn, Noted, or No Juris."
Closed,Henry's Wrecker Service,5/22/2024,David Elswick,Public,5/22/2024,Consumer,12972 Pinnacle Dr. Germantown 20874,8321 Beechcraft Ave,38,Towing,"Towing - Predatory, Towing - Unauthorized",7/12/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Henry's Wrecker Service,5/24/2024,Bernardo Vega,Public,5/24/2024,Consumer,8621 Georgia Ave. Silver Spring 20910,2701 Garfield Avenue,20,Towing,Towing - Unauthorized,6/20/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Henry's Wrecker Service,5/25/2024,Bernardo Vega,Public,5/28/2024,Consumer,1900 Bronzegate Blvd. Silver Spring 20904,2701 Garfield Avenue,16,Towing,Towing - Unauthorized,6/18/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Prestige Autow,5/29/2024,Bernardo Vega,FLOREC07,5/29/2024,Consumer,14301 Georgia Ave. 20906,13 Fedor Ave,57,Towing,Towing - Unauthorized,8/15/2024,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Henry's Wrecker Service,6/10/2024,David Elswick,Public,6/11/2024,Consumer,5101 River Road Bethesda 20816,2701 Garfield Avenue,17,Towing,Towing - Unauthorized,7/3/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,IHOP,6/11/2024,Bernardo Vega,Public,6/12/2024,Consumer,2526 University Blvd W. Silver Spring 20902,2526 University Blvd W,55,Towing,"Pricing - Excessive, Towing - Unauthorized",8/27/2024,115,RESOLVED:  PARTIAL REFUND - Consumer receives a PARTIAL refund based on Investigator-Validated amount.,Complaint Resolved
Closed,Henry's Wrecker Service,6/12/2024,Bernardo Vega,Public,6/12/2024,Consumer,9704 Lake Shore Dr. Montgomery Village 20886,8321 Beechcraft Ave,62,Towing,Towing - Unauthorized,9/5/2024,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Henry's Wrecker Service,6/17/2024,Bernardo Vega,MATTHR02,6/17/2024,Consumer,1710 January Dr. Silver Spring 20904,8321 Beechcraft Ave,47,Towing,Towing - Unauthorized,8/20/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Metro Investigation and Recovery Solutions,6/22/2024,Bernardo Vega,Public,6/25/2024,Consumer,Unknown Repossesion Location,4501 Curtis Ave,20,Towing,Towing - Unauthorized,7/22/2024,340,REFERRED:  Legal services provider,"Complaint Referred, Withdrawn, Noted, or No Juris."
Closed,AION Management,6/24/2024,Bernardo Vega,Public,6/25/2024,Consumer,1710 January Dr. Silver Spring 20904,11542 February Circle,41,Towing,Towing - Unauthorized,8/20/2024,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Henry's Towing,6/25/2024,Bernardo Vega,Public,6/26/2024,Consumer,14158 Gallop Terr. Germantown 20874,,26,Towing,Towing - Unauthorized,7/31/2024,115,RESOLVED:  PARTIAL REFUND - Consumer receives a PARTIAL refund based on Investigator-Validated amount.,Complaint Resolved
Closed,Diversified Recovery,6/25/2024,David Elswick,Public,6/26/2024,Consumer,5200 Crossfield Ct. North Bethesda 20852,12527 Parklawn Dr,6,Towing,"Towing - Unauthorized, Unfair Trade Practice",7/3/2024,320,REFERRED:  MD State Government agency,"Complaint Referred, Withdrawn, Noted, or No Juris."
Closed,Diversified Recovery,6/28/2024,David Elswick,Public,7/1/2024,Consumer,5200 Crossfield Ct. North Bethesda 20852,12527 Parklawn Drive,3,Towing,"Damage Claim, Towing - Insufficient Signage, Towing - Unauthorized",7/3/2024,320,REFERRED:  MD State Government agency,"Complaint Referred, Withdrawn, Noted, or No Juris."
